candidate,round1,round2,round3,round4,round5,round6,round7,round8,impute,trial,rank
ELLEN LEE ZHOU,9597,9597,9722,9862,10917,NA,NA,NA,vote_choice_precinct,25,5
RICHIE GREENBERG,7062,7062,7151,7265,NA,NA,NA,NA,vote_choice_precinct,25,6
AMY FARAH WEISS,1683,1683,1757,NA,NA,NA,NA,NA,vote_choice_precinct,25,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,25,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,25,9
"NA",0,0,0,74,448,2261,10004,18505,vote_choice_precinct,25,10
LONDON BREED,92197,92200,92345,92560,94163,97486,104367,117240,vote_choice_precinct,26,1
MARK LENO,61515,61515,61653,62022,63338,64778,70100,115739,vote_choice_precinct,26,2
JANE KIM,60837,60837,60944,61575,62116,63786,66936,NA,vote_choice_precinct,26,3
ANGELA ALIOTO,17600,17600,17825,18030,20383,23068,NA,NA,vote_choice_precinct,26,4
ELLEN LEE ZHOU,9597,9597,9729,9875,10968,NA,NA,NA,vote_choice_precinct,26,5
RICHIE GREENBERG,7062,7062,7149,7266,NA,NA,NA,NA,vote_choice_precinct,26,6
AMY FARAH WEISS,1683,1683,1753,NA,NA,NA,NA,NA,vote_choice_precinct,26,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,26,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,26,9
"NA",0,0,0,70,430,2280,9995,18419,vote_choice_precinct,26,10
LONDON BREED,92197,92200,92342,92560,94153,97482,104404,117291,vote_choice_precinct,27,1
MARK LENO,61515,61515,61659,62033,63380,64784,69979,115621,vote_choice_precinct,27,2
JANE KIM,60837,60837,60945,61574,62157,63793,67023,NA,vote_choice_precinct,27,3
ANGELA ALIOTO,17600,17600,17825,18029,20347,23092,NA,NA,vote_choice_precinct,27,4
ELLEN LEE ZHOU,9597,9597,9722,9865,10942,NA,NA,NA,vote_choice_precinct,27,5
RICHIE GREENBERG,7062,7062,7149,7264,NA,NA,NA,NA,vote_choice_precinct,27,6
AMY FARAH WEISS,1683,1683,1756,NA,NA,NA,NA,NA,vote_choice_precinct,27,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,27,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,27,9
"NA",0,0,0,73,419,2247,9992,18486,vote_choice_precinct,27,10
LONDON BREED,92197,92200,92347,92568,94160,97461,104325,117241,vote_choice_precinct,28,1
MARK LENO,61515,61515,61659,62031,63373,64836,70095,115682,vote_choice_precinct,28,2
JANE KIM,60837,60837,60947,61581,62164,63808,67012,NA,vote_choice_precinct,28,3
ANGELA ALIOTO,17600,17600,17817,18022,20326,23043,NA,NA,vote_choice_precinct,28,4
ELLEN LEE ZHOU,9597,9597,9725,9864,10946,NA,NA,NA,vote_choice_precinct,28,5
RICHIE GREENBERG,7062,7062,7150,7262,NA,NA,NA,NA,vote_choice_precinct,28,6
AMY FARAH WEISS,1683,1683,1753,NA,NA,NA,NA,NA,vote_choice_precinct,28,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,28,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,28,9
"NA",0,0,0,70,429,2250,9966,18475,vote_choice_precinct,28,10
LONDON BREED,92197,92200,92342,92563,94177,97495,104364,117200,vote_choice_precinct,29,1
MARK LENO,61515,61515,61657,62030,63360,64793,70071,115738,vote_choice_precinct,29,2
JANE KIM,60837,60837,60945,61574,62138,63801,67005,NA,vote_choice_precinct,29,3
ANGELA ALIOTO,17600,17600,17821,18025,20349,23022,NA,NA,vote_choice_precinct,29,4
ELLEN LEE ZHOU,9597,9597,9729,9872,10935,NA,NA,NA,vote_choice_precinct,29,5
RICHIE GREENBERG,7062,7062,7152,7265,NA,NA,NA,NA,vote_choice_precinct,29,6
AMY FARAH WEISS,1683,1683,1752,NA,NA,NA,NA,NA,vote_choice_precinct,29,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,29,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,29,9
"NA",0,0,0,69,439,2287,9958,18460,vote_choice_precinct,29,10
LONDON BREED,92197,92200,92344,92564,94152,97465,104355,117244,vote_choice_precinct,30,1
MARK LENO,61515,61515,61654,62034,63365,64802,70072,115682,vote_choice_precinct,30,2
JANE KIM,60837,60837,60948,61577,62153,63833,67036,NA,vote_choice_precinct,30,3
ANGELA ALIOTO,17600,17600,17819,18016,20325,23010,NA,NA,vote_choice_precinct,30,4
ELLEN LEE ZHOU,9597,9597,9727,9867,10980,NA,NA,NA,vote_choice_precinct,30,5
RICHIE GREENBERG,7062,7062,7151,7268,NA,NA,NA,NA,vote_choice_precinct,30,6
AMY FARAH WEISS,1683,1683,1755,NA,NA,NA,NA,NA,vote_choice_precinct,30,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,30,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,30,9
"NA",0,0,0,72,423,2288,9935,18472,vote_choice_precinct,30,10
LONDON BREED,92197,92200,92342,92558,94130,97443,104316,117123,vote_choice_precinct,31,1
MARK LENO,61515,61515,61652,62026,63374,64779,70023,115728,vote_choice_precinct,31,2
JANE KIM,60837,60837,60941,61576,62172,63851,67080,NA,vote_choice_precinct,31,3
ANGELA ALIOTO,17600,17600,17834,18036,20381,23110,NA,NA,vote_choice_precinct,31,4
ELLEN LEE ZHOU,9597,9597,9723,9864,10920,NA,NA,NA,vote_choice_precinct,31,5
RICHIE GREENBERG,7062,7062,7154,7269,NA,NA,NA,NA,vote_choice_precinct,31,6
AMY FARAH WEISS,1683,1683,1752,NA,NA,NA,NA,NA,vote_choice_precinct,31,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,31,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,31,9
"NA",0,0,0,69,421,2215,9979,18547,vote_choice_precinct,31,10
LONDON BREED,92197,92200,92348,92568,94185,97507,104345,117170,vote_choice_precinct,32,1
MARK LENO,61515,61515,61657,62026,63348,64794,70074,115729,vote_choice_precinct,32,2
JANE KIM,60837,60837,60941,61577,62157,63792,67001,NA,vote_choice_precinct,32,3
ANGELA ALIOTO,17600,17600,17820,18019,20323,23017,NA,NA,vote_choice_precinct,32,4
ELLEN LEE ZHOU,9597,9597,9723,9866,10947,NA,NA,NA,vote_choice_precinct,32,5
RICHIE GREENBERG,7062,7062,7152,7268,NA,NA,NA,NA,vote_choice_precinct,32,6
AMY FARAH WEISS,1683,1683,1757,NA,NA,NA,NA,NA,vote_choice_precinct,32,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,32,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,32,9
"NA",0,0,0,74,438,2288,9978,18499,vote_choice_precinct,32,10
LONDON BREED,92197,92200,92348,92566,94130,97447,104364,117253,vote_choice_precinct,33,1
MARK LENO,61515,61515,61651,62022,63363,64818,70084,115702,vote_choice_precinct,33,2
JANE KIM,60837,60837,60950,61583,62167,63787,66948,NA,vote_choice_precinct,33,3
ANGELA ALIOTO,17600,17600,17823,18025,20369,23091,NA,NA,vote_choice_precinct,33,4
ELLEN LEE ZHOU,9597,9597,9726,9871,10957,NA,NA,NA,vote_choice_precinct,33,5
RICHIE GREENBERG,7062,7062,7152,7266,NA,NA,NA,NA,vote_choice_precinct,33,6
AMY FARAH WEISS,1683,1683,1748,NA,NA,NA,NA,NA,vote_choice_precinct,33,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,33,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,33,9
"NA",0,0,0,65,412,2255,10002,18443,vote_choice_precinct,33,10
LONDON BREED,92197,92200,92343,92564,94143,97453,104307,117188,vote_choice_precinct,34,1
MARK LENO,61515,61515,61658,62029,63377,64820,70083,115713,vote_choice_precinct,34,2
JANE KIM,60837,60837,60942,61573,62155,63792,67018,NA,vote_choice_precinct,34,3
ANGELA ALIOTO,17600,17600,17826,18030,20359,23072,NA,NA,vote_choice_precinct,34,4
ELLEN LEE ZHOU,9597,9597,9727,9872,10943,NA,NA,NA,vote_choice_precinct,34,5
RICHIE GREENBERG,7062,7062,7148,7259,NA,NA,NA,NA,vote_choice_precinct,34,6
AMY FARAH WEISS,1683,1683,1754,NA,NA,NA,NA,NA,vote_choice_precinct,34,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,34,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,34,9
"NA",0,0,0,71,421,2261,9990,18497,vote_choice_precinct,34,10
LONDON BREED,92197,92200,92342,92557,94175,97520,104374,117280,vote_choice_precinct,35,1
MARK LENO,61515,61515,61649,62023,63356,64784,70052,115662,vote_choice_precinct,35,2
JANE KIM,60837,60837,60946,61579,62157,63787,67019,NA,vote_choice_precinct,35,3
ANGELA ALIOTO,17600,17600,17826,18031,20304,22995,NA,NA,vote_choice_precinct,35,4
ELLEN LEE ZHOU,9597,9597,9727,9866,10980,NA,NA,NA,vote_choice_precinct,35,5
RICHIE GREENBERG,7062,7062,7155,7272,NA,NA,NA,NA,vote_choice_precinct,35,6
AMY FARAH WEISS,1683,1683,1753,NA,NA,NA,NA,NA,vote_choice_precinct,35,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,35,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,35,9
"NA",0,0,0,70,426,2312,9953,18456,vote_choice_precinct,35,10
LONDON BREED,92197,92200,92346,92568,94180,97512,104384,117261,vote_choice_precinct,36,1
MARK LENO,61515,61515,61657,62033,63347,64764,69960,115600,vote_choice_precinct,36,2
JANE KIM,60837,60837,60950,61579,62140,63809,67067,NA,vote_choice_precinct,36,3
ANGELA ALIOTO,17600,17600,17820,18023,20348,23044,NA,NA,vote_choice_precinct,36,4
ELLEN LEE ZHOU,9597,9597,9727,9870,10969,NA,NA,NA,vote_choice_precinct,36,5
RICHIE GREENBERG,7062,7062,7149,7259,NA,NA,NA,NA,vote_choice_precinct,36,6
AMY FARAH WEISS,1683,1683,1749,NA,NA,NA,NA,NA,vote_choice_precinct,36,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,36,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,36,9
"NA",0,0,0,66,414,2269,9987,18537,vote_choice_precinct,36,10
LONDON BREED,92197,92200,92339,92556,94183,97486,104390,117272,vote_choice_precinct,37,1
MARK LENO,61515,61515,61653,62025,63341,64752,69988,115604,vote_choice_precinct,37,2
JANE KIM,60837,60837,60948,61578,62168,63878,67102,NA,vote_choice_precinct,37,3
ANGELA ALIOTO,17600,17600,17823,18026,20332,23024,NA,NA,vote_choice_precinct,37,4
ELLEN LEE ZHOU,9597,9597,9729,9872,10944,NA,NA,NA,vote_choice_precinct,37,5
RICHIE GREENBERG,7062,7062,7153,7271,NA,NA,NA,NA,vote_choice_precinct,37,6
AMY FARAH WEISS,1683,1683,1753,NA,NA,NA,NA,NA,vote_choice_precinct,37,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,37,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,37,9
"NA",0,0,0,70,430,2258,9918,18522,vote_choice_precinct,37,10
LONDON BREED,92197,92200,92348,92564,94116,97444,104305,117184,vote_choice_precinct,38,1
MARK LENO,61515,61515,61655,62023,63357,64793,70077,115707,vote_choice_precinct,38,2
JANE KIM,60837,60837,60944,61573,62153,63784,66979,NA,vote_choice_precinct,38,3
ANGELA ALIOTO,17600,17600,17828,18034,20399,23121,NA,NA,vote_choice_precinct,38,4
ELLEN LEE ZHOU,9597,9597,9721,9867,10958,NA,NA,NA,vote_choice_precinct,38,5
RICHIE GREENBERG,7062,7062,7150,7268,NA,NA,NA,NA,vote_choice_precinct,38,6
AMY FARAH WEISS,1683,1683,1752,NA,NA,NA,NA,NA,vote_choice_precinct,38,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,38,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,38,9
"NA",0,0,0,69,415,2256,10037,18507,vote_choice_precinct,38,10
LONDON BREED,92197,92200,92347,92569,94172,97476,104340,117203,vote_choice_precinct,39,1
MARK LENO,61515,61515,61660,62038,63381,64816,70072,115701,vote_choice_precinct,39,2
JANE KIM,60837,60837,60940,61566,62140,63827,67039,NA,vote_choice_precinct,39,3
ANGELA ALIOTO,17600,17600,17819,18024,20310,23001,NA,NA,vote_choice_precinct,39,4
ELLEN LEE ZHOU,9597,9597,9726,9867,10980,NA,NA,NA,vote_choice_precinct,39,5
RICHIE GREENBERG,7062,7062,7154,7265,NA,NA,NA,NA,vote_choice_precinct,39,6
AMY FARAH WEISS,1683,1683,1752,NA,NA,NA,NA,NA,vote_choice_precinct,39,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,39,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,39,9
"NA",0,0,0,69,415,2278,9947,18494,vote_choice_precinct,39,10
LONDON BREED,92197,92200,92347,92566,94161,97471,104338,117228,vote_choice_precinct,40,1
MARK LENO,61515,61515,61654,62025,63395,64851,70155,115755,vote_choice_precinct,40,2
JANE KIM,60837,60837,60943,61579,62150,63777,66952,NA,vote_choice_precinct,40,3
ANGELA ALIOTO,17600,17600,17824,18026,20315,23021,NA,NA,vote_choice_precinct,40,4
ELLEN LEE ZHOU,9597,9597,9726,9867,10960,NA,NA,NA,vote_choice_precinct,40,5
RICHIE GREENBERG,7062,7062,7153,7267,NA,NA,NA,NA,vote_choice_precinct,40,6
AMY FARAH WEISS,1683,1683,1751,NA,NA,NA,NA,NA,vote_choice_precinct,40,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,40,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,40,9
"NA",0,0,0,68,417,2278,9953,18415,vote_choice_precinct,40,10
LONDON BREED,92197,92200,92343,92562,94133,97495,104416,117275,vote_choice_precinct,41,1
MARK LENO,61515,61515,61649,62028,63405,64849,70065,115701,vote_choice_precinct,41,2
JANE KIM,60837,60837,60945,61572,62147,63764,66957,NA,vote_choice_precinct,41,3
ANGELA ALIOTO,17600,17600,17826,18031,20371,23059,NA,NA,vote_choice_precinct,41,4
ELLEN LEE ZHOU,9597,9597,9731,9874,10927,NA,NA,NA,vote_choice_precinct,41,5
RICHIE GREENBERG,7062,7062,7152,7262,NA,NA,NA,NA,vote_choice_precinct,41,6
AMY FARAH WEISS,1683,1683,1752,NA,NA,NA,NA,NA,vote_choice_precinct,41,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,41,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,41,9
"NA",0,0,0,69,415,2231,9960,18422,vote_choice_precinct,41,10
LONDON BREED,92197,92200,92344,92564,94163,97481,104320,117197,vote_choice_precinct,42,1
MARK LENO,61515,61515,61656,62024,63380,64811,70048,115670,vote_choice_precinct,42,2
JANE KIM,60837,60837,60943,61578,62136,63776,67011,NA,vote_choice_precinct,42,3
ANGELA ALIOTO,17600,17600,17825,18029,20378,23103,NA,NA,vote_choice_precinct,42,4
ELLEN LEE ZHOU,9597,9597,9726,9867,10923,NA,NA,NA,vote_choice_precinct,42,5
RICHIE GREENBERG,7062,7062,7150,7265,NA,NA,NA,NA,vote_choice_precinct,42,6
AMY FARAH WEISS,1683,1683,1754,NA,NA,NA,NA,NA,vote_choice_precinct,42,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,42,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,42,9
"NA",0,0,0,71,418,2227,10019,18531,vote_choice_precinct,42,10
LONDON BREED,92197,92200,92351,92565,94183,97490,104363,117228,vote_choice_precinct,43,1
MARK LENO,61515,61515,61654,62027,63325,64736,70015,115659,vote_choice_precinct,43,2
JANE KIM,60837,60837,60944,61575,62150,63796,66961,NA,vote_choice_precinct,43,3
ANGELA ALIOTO,17600,17600,17822,18031,20373,23102,NA,NA,vote_choice_precinct,43,4
ELLEN LEE ZHOU,9597,9597,9724,9862,10942,NA,NA,NA,vote_choice_precinct,43,5
RICHIE GREENBERG,7062,7062,7153,7271,NA,NA,NA,NA,vote_choice_precinct,43,6
AMY FARAH WEISS,1683,1683,1750,NA,NA,NA,NA,NA,vote_choice_precinct,43,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,43,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,43,9
"NA",0,0,0,67,425,2274,10059,18511,vote_choice_precinct,43,10
LONDON BREED,92197,92200,92352,92570,94178,97519,104375,117245,vote_choice_precinct,44,1
MARK LENO,61515,61515,61652,62023,63361,64789,70050,115686,vote_choice_precinct,44,2
JANE KIM,60837,60837,60945,61573,62131,63759,66969,NA,vote_choice_precinct,44,3
ANGELA ALIOTO,17600,17600,17819,18027,20359,23071,NA,NA,vote_choice_precinct,44,4
ELLEN LEE ZHOU,9597,9597,9725,9867,10935,NA,NA,NA,vote_choice_precinct,44,5
RICHIE GREENBERG,7062,7062,7152,7268,NA,NA,NA,NA,vote_choice_precinct,44,6
AMY FARAH WEISS,1683,1683,1753,NA,NA,NA,NA,NA,vote_choice_precinct,44,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,44,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,44,9
"NA",0,0,0,70,434,2260,10004,18467,vote_choice_precinct,44,10
LONDON BREED,92197,92200,92346,92567,94195,97553,104423,117349,vote_choice_precinct,45,1
MARK LENO,61515,61515,61658,62030,63371,64784,70034,115658,vote_choice_precinct,45,2
JANE KIM,60837,60837,60948,61580,62147,63788,67017,NA,vote_choice_precinct,45,3
ANGELA ALIOTO,17600,17600,17816,18015,20319,23034,NA,NA,vote_choice_precinct,45,4
ELLEN LEE ZHOU,9597,9597,9730,9877,10952,NA,NA,NA,vote_choice_precinct,45,5
RICHIE GREENBERG,7062,7062,7149,7261,NA,NA,NA,NA,vote_choice_precinct,45,6
AMY FARAH WEISS,1683,1683,1751,NA,NA,NA,NA,NA,vote_choice_precinct,45,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,45,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,45,9
"NA",0,0,0,68,414,2239,9924,18391,vote_choice_precinct,45,10
LONDON BREED,92197,92200,92345,92562,94155,97506,104381,117289,vote_choice_precinct,46,1
MARK LENO,61515,61515,61655,62023,63355,64777,70015,115614,vote_choice_precinct,46,2
JANE KIM,60837,60837,60945,61575,62142,63756,66980,NA,vote_choice_precinct,46,3
ANGELA ALIOTO,17600,17600,17819,18024,20355,23073,NA,NA,vote_choice_precinct,46,4
ELLEN LEE ZHOU,9597,9597,9729,9873,10959,NA,NA,NA,vote_choice_precinct,46,5
RICHIE GREENBERG,7062,7062,7153,7272,NA,NA,NA,NA,vote_choice_precinct,46,6
AMY FARAH WEISS,1683,1683,1752,NA,NA,NA,NA,NA,vote_choice_precinct,46,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,46,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,46,9
"NA",0,0,0,69,432,2286,10022,18495,vote_choice_precinct,46,10
LONDON BREED,92197,92200,92344,92560,94147,97460,104328,117230,vote_choice_precinct,47,1
MARK LENO,61515,61515,61654,62024,63374,64825,70065,115686,vote_choice_precinct,47,2
JANE KIM,60837,60837,60946,61588,62145,63761,66995,NA,vote_choice_precinct,47,3
ANGELA ALIOTO,17600,17600,17828,18030,20362,23096,NA,NA,vote_choice_precinct,47,4
ELLEN LEE ZHOU,9597,9597,9723,9864,10951,NA,NA,NA,vote_choice_precinct,47,5
RICHIE GREENBERG,7062,7062,7151,7263,NA,NA,NA,NA,vote_choice_precinct,47,6
AMY FARAH WEISS,1683,1683,1752,NA,NA,NA,NA,NA,vote_choice_precinct,47,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,47,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,47,9
"NA",0,0,0,69,419,2256,10010,18482,vote_choice_precinct,47,10
LONDON BREED,92197,92200,92352,92570,94154,97438,104272,117137,vote_choice_precinct,48,1
MARK LENO,61515,61515,61653,62028,63391,64822,70079,115727,vote_choice_precinct,48,2
JANE KIM,60837,60837,60944,61575,62149,63775,66992,NA,vote_choice_precinct,48,3
ANGELA ALIOTO,17600,17600,17822,18024,20325,23099,NA,NA,vote_choice_precinct,48,4
ELLEN LEE ZHOU,9597,9597,9723,9862,10953,NA,NA,NA,vote_choice_precinct,48,5
RICHIE GREENBERG,7062,7062,7152,7270,NA,NA,NA,NA,vote_choice_precinct,48,6
AMY FARAH WEISS,1683,1683,1752,NA,NA,NA,NA,NA,vote_choice_precinct,48,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,48,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,48,9
"NA",0,0,0,69,426,2264,10055,18534,vote_choice_precinct,48,10
LONDON BREED,92197,92200,92342,92567,94183,97505,104352,117198,vote_choice_precinct,49,1
MARK LENO,61515,61515,61655,62028,63354,64785,70054,115698,vote_choice_precinct,49,2
JANE KIM,60837,60837,60943,61570,62151,63799,67041,NA,vote_choice_precinct,49,3
ANGELA ALIOTO,17600,17600,17831,18036,20337,23038,NA,NA,vote_choice_precinct,49,4
ELLEN LEE ZHOU,9597,9597,9721,9864,10956,NA,NA,NA,vote_choice_precinct,49,5
RICHIE GREENBERG,7062,7062,7151,7261,NA,NA,NA,NA,vote_choice_precinct,49,6
AMY FARAH WEISS,1683,1683,1755,NA,NA,NA,NA,NA,vote_choice_precinct,49,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,49,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,49,9
"NA",0,0,0,72,417,2271,9951,18502,vote_choice_precinct,49,10
LONDON BREED,92197,92200,92346,92562,94146,97469,104311,117174,vote_choice_precinct,50,1
MARK LENO,61515,61515,61655,62027,63396,64810,70078,115729,vote_choice_precinct,50,2
JANE KIM,60837,60837,60941,61575,62150,63798,67017,NA,vote_choice_precinct,50,3
ANGELA ALIOTO,17600,17600,17818,18020,20336,23053,NA,NA,vote_choice_precinct,50,4
ELLEN LEE ZHOU,9597,9597,9727,9867,10932,NA,NA,NA,vote_choice_precinct,50,5
RICHIE GREENBERG,7062,7062,7157,7276,NA,NA,NA,NA,vote_choice_precinct,50,6
AMY FARAH WEISS,1683,1683,1754,NA,NA,NA,NA,NA,vote_choice_precinct,50,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,50,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,50,9
"NA",0,0,0,71,438,2268,9992,18495,vote_choice_precinct,50,10
LONDON BREED,92197,92200,92346,92562,94138,97479,104312,117175,vote_choice_precinct,51,1
MARK LENO,61515,61515,61653,62028,63363,64797,70056,115686,vote_choice_precinct,51,2
JANE KIM,60837,60837,60942,61571,62169,63807,67026,NA,vote_choice_precinct,51,3
ANGELA ALIOTO,17600,17600,17826,18029,20373,23070,NA,NA,vote_choice_precinct,51,4
ELLEN LEE ZHOU,9597,9597,9725,9867,10924,NA,NA,NA,vote_choice_precinct,51,5
RICHIE GREENBERG,7062,7062,7153,7271,NA,NA,NA,NA,vote_choice_precinct,51,6
AMY FARAH WEISS,1683,1683,1753,NA,NA,NA,NA,NA,vote_choice_precinct,51,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,51,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,51,9
"NA",0,0,0,70,431,2245,10004,18537,vote_choice_precinct,51,10
LONDON BREED,92197,92200,92342,92553,94139,97443,104331,117228,vote_choice_precinct,52,1
MARK LENO,61515,61515,61654,62028,63354,64768,70048,115660,vote_choice_precinct,52,2
JANE KIM,60837,60837,60942,61577,62163,63844,67044,NA,vote_choice_precinct,52,3
ANGELA ALIOTO,17600,17600,17823,18028,20353,23058,NA,NA,vote_choice_precinct,52,4
ELLEN LEE ZHOU,9597,9597,9728,9873,10953,NA,NA,NA,vote_choice_precinct,52,5
RICHIE GREENBERG,7062,7062,7155,7268,NA,NA,NA,NA,vote_choice_precinct,52,6
AMY FARAH WEISS,1683,1683,1754,NA,NA,NA,NA,NA,vote_choice_precinct,52,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,52,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,52,9
"NA",0,0,0,71,436,2285,9975,18510,vote_choice_precinct,52,10
LONDON BREED,92197,92200,92350,92570,94162,97497,104398,117266,vote_choice_precinct,53,1
MARK LENO,61515,61515,61648,62022,63347,64767,70005,115645,vote_choice_precinct,53,2
JANE KIM,60837,60837,60946,61580,62146,63778,66984,NA,vote_choice_precinct,53,3
ANGELA ALIOTO,17600,17600,17826,18022,20358,23083,NA,NA,vote_choice_precinct,53,4
ELLEN LEE ZHOU,9597,9597,9724,9866,10956,NA,NA,NA,vote_choice_precinct,53,5
RICHIE GREENBERG,7062,7062,7150,7267,NA,NA,NA,NA,vote_choice_precinct,53,6
AMY FARAH WEISS,1683,1683,1754,NA,NA,NA,NA,NA,vote_choice_precinct,53,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,53,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,53,9
"NA",0,0,0,71,429,2273,10011,18487,vote_choice_precinct,53,10
LONDON BREED,92197,92200,92343,92561,94163,97441,104306,117181,vote_choice_precinct,54,1
MARK LENO,61515,61515,61649,62021,63394,64829,70060,115674,vote_choice_precinct,54,2
JANE KIM,60837,60837,60950,61579,62140,63784,66970,NA,vote_choice_precinct,54,3
ANGELA ALIOTO,17600,17600,17826,18032,20332,23073,NA,NA,vote_choice_precinct,54,4
